no,legislative_action
1,Enact legislation to make soil liming mandatory
2,Enact legislation to cap the cost of leasing land to attract private and foreign investors
3,Enact legislation to halt further subdivision of arable land
4,Enact Warehouse Receipt System Bill 2016
5,Enforce Fisheries Management and Development Act
6,Enforce road legislation to eliminate multiple levies across counties
7,"Food Security Bill, 2014"
8,Legislation to stimulate water harvesting across the country
9,Legislation on irrigated land for each constituency
10,Restoration of commodity levies to beef up commodity fund
11,Legislation on caged fish farming
12,"Enforcement of agriculture regulations (Crops: tea, sugar, potatoes)"
13,Regulations on commodity levies (Sugar Regulations)
