no,stakeholder,category
1,Alliance for a Green Revolution in Africa (AGRA),Development partner
2,Global Alliance for Improved Nutrition (GAIN),Development partner
3,World Resources Institute (WRI),Development partner
4,Welthungerhilfe (WHH),Development partner
5,Food and Agriculture Organization (FAO),Development partner
6,Ministry of Agriculture and Livestock Development (MOALD),Ministry/Government
7,Ministry of Lands and Physical Planning (MoLPP),Ministry/Government
8,Ministry of Water and Irrigation (MoW&I),Ministry/Government
9,Ministry of Health (MoH),Ministry/Government
10,University of Nairobi (UoN),Research/Academic institution
11,TEGEMEO Institute,Research/Academic institution
12,Kenya National Farmers Federation (KENAFF),CSO/Association
13,Kenya Forestry Research Institute (KEFRI),Research/Academic institution
14,African Conservation Tillage (ACT),CSO/Association
15,Agriculture Sector Network (ASNET),Private sector
16,Seed Trade Association of Kenya (STAK),Private sector
17,International Tree Foundation (ITF),CSO/Association
18,Kenya Private Sector Alliance (KEPSA),Private sector
19,Kenya Land Alliance (KLA),CSO/Association
20,Kenya Livestock Producers Association (KLPA),CSO/Association
21,Kenyan Youth Biodiversity Network (KYBN),CSO/Association
22,Micro-Enterprises Support Programme Trust (MESPT),Development partner
23,National Potato Council of Kenya (NPCK),CSO/Association
24,Association of Women in Agriculture Kenya (AWAK),CSO/Association
25,One Tree Planted (OTP),CSO/Association
26,Participatory Ecological Land Use Management (PELUM),CSO/Association
27,Society of Crop Agribusiness Advisory (SoCAA),CSO/Association
28,The Organic Movement,CSO/Association
29,"County Executive Member, Agriculture, Kisumu",County government
30,HelloTractor,Private sector
31,Kenya Agricultural and Livestock Research Organization (KALRO),Research/Academic institution
32,"County Executive Member, Agriculture, Kisii",County government
33,"County Executive Member, Agriculture, Homa Bay",County government
34,Transparency International (TI),CSO/Association
35,Agro-dealers from Kisumu,Private sector
36,Farmers from Kisumu and Homa Bay counties,Official/Individual
37,"County Executive Member, Agriculture, Turkana",County government
38,"County Executive Member, Agriculture, Elgeyo Marakwet",County government
39,"County Executive Member, Agriculture, Uasin Gishu",County government
40,"County Executive Member, Agriculture, Makueni",County government
41,"County Executive Member, Agriculture, Machakos",County government
42,"County Executive Member, Agriculture, Kitui",County government
43,"County Executive Member, Agriculture, Kiambu (rep)",County government
44,"County Executive Member, Agriculture, Kirinyaga (rep)",County government
45,"County Executive Member, Agriculture, Laikipia",County government
46,"County Executive Member, Roads, Laikipia",County government
47,"County Executive Member, Agriculture, Nyandarua (rep)",County government
48,"County Executive Member, Agriculture, Mombasa",County government
49,"KEMRI Nutritionist, Kilifi",Research/Academic institution
50,"Nutritionist, Kilifi County",County government
51,"Fisheries Officer, Mombasa County",County government
52,Hand in Hand East Africa,CSO/Association
53,"CEO, Decent Conservation",CSO/Association
54,"Representative, NEMA Mombasa",Ministry/Government
55,"CEO, Jumuia ya Kaunti za Pwani",County government
56,"Tea Executive, Sanica",Private sector
57,"Managing Director, Mardin Group",Private sector
58,"Chairman, CPF",Official/Individual
59,"Director, Green Leaf",Private sector
60,"Chairman, KAFOSA",Official/Individual
61,"Sub-County Nutrition and Dietetics Coordinator, Mombasa",County government
62,"Crops Officer, Mombasa",County government
63,"Communication Officer, Decent Conservation",CSO/Association
64,"Younger Farmer, Mombasa",Official/Individual
65,"Fisheries Officer, Mombasa",County government
66,Young African Workers,CSO/Association
67,"Lecturer, Technical University Mombasa",Research/Academic institution
68,Community CBOs,CSO/Association
69,AWAK IT Manager,Official/Individual
