indicator,indicator_name,country,year,value
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2000,34.4
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2001,33.5
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2002,32.7
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2003,31.9
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2004,31.1
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2005,30.4
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2006,29.6
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2007,29.0
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2008,28.3
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2009,27.8
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2010,27.5
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2011,27.2
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2012,27.2
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2013,27.3
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2014,27.5
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2015,27.8
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2016,28.1
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2017,28.5
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2018,28.9
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2019,29.3
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2020,29.8
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2021,30.5
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2022,31.3
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),KE,2023,32.2
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2000,56.7
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2001,54.6
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2002,52.5
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2003,50.6
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2004,48.8
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2005,46.9
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2006,45.3
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2007,43.7
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2008,42.0
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2009,40.7
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2010,39.9
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2011,39.4
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2012,39.3
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2013,39.3
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2014,39.7
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2015,40.1
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2016,40.6
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2017,41.4
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2018,42.0
SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months),KE,2019,42.8
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,1987,37.0
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,1993,40.2
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,1994,41.1
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,1998,36.8
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2000,40.8
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2003,35.8
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2005,40.3
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2008,35.5
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2011,26.3
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2014,26.2
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2016,28.6
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)",KE,2022,17.6
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,1987,5.5
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,1993,7.1
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,1994,6.8
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,1998,7.5
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2000,7.4
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2003,6.2
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2005,6.9
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2008,6.9
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2011,6.0
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2014,4.2
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2016,6.7
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",KE,2022,4.5
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2001,31.8
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2002,33.3
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2003,34.5
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2004,31.6
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2005,28.0
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2006,25.8
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2007,26.8
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2008,26.7
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2009,24.3
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2010,21.7
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2011,19.9
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2012,19.1
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2013,18.9
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2014,19.0
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2015,20.8
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2016,22.2
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2017,23.6
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2018,22.9
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2019,23.7
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2020,26.3
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2021,31.6
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2022,35.3
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),KE,2023,36.8
