commodity_unit,year,value
"Maize, total marketed (000 tonnes)",2017,239.2
"Maize, total marketed (000 tonnes)",2018,441.5
"Maize, total marketed (000 tonnes)",2019,316.7
"Maize, total marketed (000 tonnes)",2020,261.3
"Maize, total marketed (000 tonnes)",2021,228.4
Milk sold centrally (million litres),2017,591.4
Milk sold centrally (million litres),2018,652.3
Milk sold centrally (million litres),2019,685.9
Milk sold centrally (million litres),2020,684.4
Milk sold centrally (million litres),2021,801.9
Sugar (000 tonnes),2017,4715.6
Sugar (000 tonnes),2018,5262.2
Sugar (000 tonnes),2019,4606.1
Sugar (000 tonnes),2020,6810.9
Sugar (000 tonnes),2021,7783.3
Wheat (000 tonnes),2017,156.9
Wheat (000 tonnes),2018,330.3
Wheat (000 tonnes),2019,348.8
Wheat (000 tonnes),2020,280.8
Wheat (000 tonnes),2021,241.9
